order_id;order_date;order_status;delivery_date;seller_id;buyer_id;product_quantities
O00001;8/12/2020;OK;20/12/2020;U00614;U00450;"{""P00614_011"": 3}"
O00002;1/11/2020;OK;6/11/2020;U00626;U00595;"{""P00505_002"": 4,
""P00505_001"": 5,
""P00505_001"": 4,
""P00505_005"": 1,
""P00505_005"": 5}"
O00003;28/11/2020;CANCELED;;U00624;U00146;"{""P00624_001"": 2}"
O00004;12/11/2020;OK;18/11/2020;U00505;U00578;"{""P00626_001"": 4,
""P00626_007"": 3,
""P00626_005"": 4}"
O00005;7/12/2020;OK;18/12/2020;U00536;U00164;"{""P00536_003"": 2,
""P00536_002"": 5,
""P00536_005"": 2}"
O00006;14/12/2020;OK;22/12/2020;U00581;U00242;"{""P00581_001"": 1,
""P00581_001"": 4}"
O00007;26/11/2020;CANCELED;;U00592;U00110;"{""P00592_001"": 3}"
O00008;3/12/2020;OK;15/12/2020;U00406;U00567;"{""P00406_007"": 1,
""P00406_005"": 2}"
O00009;5/12/2020;OK;17/12/2020;U00603;U00050;"{""P00603_001"": 3,
""P00603_001"": 2,
""P00603_001"": 4,
""P00603_001"": 4,
""P00603_001"": 2}"
O00010;18/12/2020;OK;26/12/2020;U00576;U00540;"{""P00576_008"": 4,
""P00576_009"": 1}"
O00011;30/12/2020;OK;9/01/2021;U00605;U00490;"{""P00605_011"": 5}"
O00012;3/11/2020;CANCELED;;U00489;U00269;"{""P00489_003"": 5,
""P00489_002"": 2}"
O00013;28/11/2020;CANCELED;;U00555;U00473;"{""P00555_012"": 2,
""P00555_009"": 1,
""P00555_010"": 2,
""P00555_013"": 3,
""P00555_005"": 5}"
O00014;30/12/2020;OK;9/01/2021;U00448;U00122;"{""P00448_008"": 5}"
O00015;7/12/2020;OK;10/12/2020;U00567;U00346;"{""P00567_004"": 1,
""P00567_006"": 4,
""P00567_002"": 5}"
O00016;20/11/2020;OK;27/11/2020;U00428;U00150;"{""P00428_004"": 1,
""P00428_006"": 4,
""P00428_003"": 5,
""P00428_001"": 2,
""P00428_001"": 4}"
O00017;9/12/2020;OK;15/12/2020;U00580;U00250;"{""P00580_001"": 4,
""P00580_003"": 1,
""P00580_001"": 5,
""P00580_002"": 3,
""P00580_001"": 3}"
O00018;23/11/2020;CANCELED;;U00428;U00060;"{""P00428_005"": 5,
""P00428_004"": 5}"
O00019;25/11/2020;OK;1/12/2020;U00517;U00038;"{""P00517_003"": 1,
""P00517_003"": 2}"
O00020;28/12/2020;OK;30/12/2020;U00599;U00094;"{""P00599_014"": 5,
""P00599_007"": 5,
""P00599_015"": 3,
""P00599_007"": 5,
""P00599_009"": 5}"
O00021;20/12/2020;OK;22/12/2020;U00589;U00324;"{""P00589_007"": 3,
""P00589_009"": 5}"
O00022;21/11/2020;OK;28/11/2020;U00500;U00454;"{""P00500_008"": 4,
""P00500_005"": 4,
""P00500_003"": 4,
""P00500_003"": 3,
""P00500_003"": 2}"
O00023;8/12/2020;OK;21/12/2020;U00489;U00437;"{""P00489_002"": 2,
""P00489_006"": 5}"
O00024;31/12/2020;OK;5/01/2021;U00473;U00254;"{""P00473_001"": 1,
""P00473_005"": 3}"
O00025;19/11/2020;OK;24/11/2020;U00388;U00486;"{""P00388_001"": 1,
""P00388_001"": 5,
""P00388_001"": 2}"
O00026;3/11/2020;CANCELED;;U00620;U00399;"{""P00620_001"": 2,
""P00620_002"": 3}"
O00027;14/11/2020;OK;23/11/2020;U00622;U00052;"{""P00622_009"": 4,
""P00622_001"": 4}"
O00028;18/12/2020;OK;20/12/2020;U00447;U00021;"{""P00447_007"": 4}"
O00029;27/12/2020;OK;6/01/2021;U00620;U00319;"{""P00620_002"": 3,
""P00620_001"": 2,
""P00620_001"": 4,
""P00620_001"": 2}"
O00030;4/12/2020;OK;12/12/2020;U00325;U00376;"{""P00325_013"": 1}"
O00031;13/12/2020;OK;26/12/2020;U00562;U00199;"{""P00562_009"": 4}"
O00032;2/11/2020;OK;15/11/2020;U00447;U00329;"{""P00447_008"": 3,
""P00447_004"": 5}"
O00033;24/11/2020;OK;7/12/2020;U00555;U00086;"{""P00555_003"": 3,
""P00555_010"": 3,
""P00555_006"": 3,
""P00555_006"": 4,
""P00555_005"": 4}"
O00034;17/11/2020;OK;30/11/2020;U00617;U00515;"{""P00617_016"": 4,
""P00617_008"": 4}"
O00035;16/12/2020;OK;22/12/2020;U00513;U00257;"{""P00513_005"": 5}"
O00036;10/11/2020;OK;16/11/2020;U00506;U00609;"{""P00506_001"": 4}"
O00037;26/12/2020;OK;27/12/2020;U00505;U00293;"{""P00505_003"": 3,
""P00505_004"": 5,
""P00505_007"": 2,
""P00505_005"": 5}"
O00038;18/11/2020;OK;20/11/2020;U00376;U00189;"{""P00376_018"": 2}"
O00039;8/11/2020;OK;18/11/2020;U00594;U00268;"{""P00594_001"": 5,
""P00594_002"": 2,
""P00594_002"": 4,
""P00594_005"": 5,
""P00594_005"": 5}"
O00040;14/11/2020;OK;25/11/2020;U00501;U00265;"{""P00501_003"": 3}"
O00041;20/11/2020;OK;25/11/2020;U00595;U00009;"{""P00595_001"": 2,
""P00595_001"": 5}"
O00042;21/11/2020;OK;26/11/2020;U00599;U00325;"{""P00599_020"": 4}"
O00043;3/12/2020;CANCELED;;U00474;U00130;"{""P00474_009"": 4,
""P00474_005"": 1,
""P00474_009"": 3,
""P00474_002"": 4}"
O00044;26/12/2020;OK;5/01/2021;U00587;U00299;"{""P00587_002"": 1,
""P00587_002"": 1,
""P00587_001"": 3}"
O00045;21/11/2020;CANCELED;;U00595;U00087;"{""P00595_004"": 1}"
