"seller_id"|"product_count"|"avg_product_price"|"product_price"
U00501|6|46.655|279.93
U00527|2|54.530|109.06
U00149|2|43.525|87.05
U00500|8|10.260|82.08
U00164|23|15.514|356.8299999999999
U00009|4|58.435|233.74
U00030|2|43.770|87.54
U00579|4|17.913|71.65
U00196|4|5.490|21.96
U00077|4|15.320|61.279999999999994
U00412|1|5.080|5.08
U00609|1|18.370|18.37
U00071|3|38.567|115.7
U00562|13|19.340|251.42000000000002
U00619|1|36.560|36.56
U00603|1|44.900|44.9
U00086|1|22.370|22.37
U00254|1|61.940|61.94
U00123|3|30.330|90.99000000000001
U00606|1|7.930|7.93
U00045|7|28.469|199.28
U00399|13|24.868|323.29
U00535|7|17.551|122.86000000000001
U00617|16|19.681|314.8899999999999
U00041|4|31.838|127.35000000000001
U00408|12|19.316|231.79
U00402|2|60.815|121.63
U00477|4|7.435|29.74
U00435|3|12.253|36.760000000000005
U00275|4|37.388|149.55
U00418|4|30.810|123.24000000000002
U00146|3|39.523|118.57
U00168|1|6.310|6.31
U00350|3|22.407|67.22
U00023|8|27.961|223.69
U00162|6|14.725|88.35
U00153|8|34.784|278.27
U00429|1|30.240|30.24
U00184|2|23.495|46.99
U00520|8|19.458|155.65999999999997
U00090|1|15.890|15.89
U00373|12|15.487|185.84000000000003
U00005|8|44.834|358.66999999999996
U00181|12|23.208|278.49
U00188|12|44.503|534.03
U00426|3|30.270|90.81
U00208|7|17.804|124.63000000000001
U00346|5|19.500|97.5
U00371|6|20.718|124.31
U00013|3|54.597|163.79000000000002
U00517|4|22.073|88.29
U00585|8|7.160|57.28
U00355|2|10.365|20.73
U00358|3|41.440|124.32000000000001
U00485|8|12.689|101.51
U00103|4|58.358|233.43
U00512|3|45.033|135.1
U00268|12|25.019|300.23
U00143|3|70.657|211.97
U00232|3|10.920|32.76
U00288|1|9.130|9.13
U00185|6|10.628|63.769999999999996
U00480|3|7.140|21.42
U00439|1|44.150|44.15
U00344|11|16.469|181.16
U00097|5|25.560|127.8
U00336|9|13.171|118.54
U00204|11|25.377|279.15
U00017|9|35.419|318.77000000000004
U00460|1|77.150|77.15
U00580|2|5.140|10.280000000000001
U00234|1|8.140|8.14
U00531|1|9.020|9.02
U00279|5|20.964|104.82000000000001
U00262|12|18.985|227.82
U00325|16|13.873|221.96
U00451|8|34.021|272.16999999999996
U00083|8|27.586|220.68999999999997
U00056|3|28.443|85.33
U00493|1|5.090|5.09
U00217|3|47.907|143.72
U00192|7|32.163|225.14000000000001
U00457|1|5.250|5.25
U00544|1|29.170|29.17
U00400|8|44.581|356.65
U00589|8|15.928|127.42000000000002
U00626|8|26.090|208.72
U00105|4|23.173|92.69
U00067|3|36.913|110.74000000000001
U00591|1|62.440|62.44
U00183|4|38.790|155.16
U00256|4|18.755|75.02
U00620|2|5.765|11.530000000000001
U00340|4|43.128|172.51
U00333|13|25.986|337.82
U00082|11|17.856|196.42000000000004
U00510|1|26.120|26.12
U00416|2|21.790|43.58
U00287|7|9.953|69.67
U00453|1|5.270|5.27
U00121|3|45.990|137.97
U00318|2|27.155|54.31
U00422|1|95.090|95.09
U00035|2|61.255|122.50999999999999
U00259|8|12.103|96.82
U00195|9|41.457|373.11
U00543|2|21.275|42.550000000000004
U00093|1|30.890|30.89
U00368|9|22.137|199.23000000000002
U00329|1|11.650|11.65
U00314|2|68.955|137.91
U00118|2|62.045|124.09
U00116|1|5.070|5.07
U00075|1|6.680|6.68
U00225|2|35.545|71.09
U00102|2|37.180|74.36
U00236|8|44.498|355.98
U00545|5|21.770|108.85000000000001
U00401|10|30.112|301.12
U00049|11|22.084|242.92000000000002
U00062|2|38.105|76.21
U00137|1|8.780|8.78
U00548|2|44.060|88.11999999999999
U00551|10|31.613|316.13
U00473|6|12.723|76.34
U00427|6|28.983|173.89999999999998
