"order_id"|"order_date"|"order_status"|"delivery_date"|"seller_id"|"buyer_id"|"product_quantities"|"total_price"|"product_count"|"avg_product_price"|"avg_product_total_price"|"total_price_order"
O00001|2020-12-08|OK|2020-12-20|U00614|U00450|"{""P00614_011"": 3}"|2143.58|3|5.01|15.030|15.03
O00002|2020-11-01|OK|2020-11-06|U00626|U00595|"{""P00505_002"": 4,
""P00505_001"": 5,
""P00505_001"": 4,
""P00505_005"": 1,
""P00505_005"": 5}"|1951.7399999999998|19|9.234|31.786|158.93
O00003|2020-11-28|CANCELED|0001-01-01|U00624|U00146|"{""P00624_001"": 2}"|2468.560000000001|2|42.1|84.200|84.2
O00004|2020-11-12|OK|2020-11-18|U00505|U00578|"{""P00626_001"": 4,
""P00626_007"": 3,
""P00626_005"": 4}"|2533.3899999999994|11|8.586666666666668|32.483|97.45
O00005|2020-12-07|OK|2020-12-18|U00536|U00164|"{""P00536_003"": 2,
""P00536_002"": 5,
""P00536_005"": 2}"|1700.07|9|22.546666666666667|50.103|150.31
O00006|2020-12-14|OK|2020-12-22|U00581|U00242|"{""P00581_001"": 1,
""P00581_001"": 4}"|1405.32|5|5.45|13.625|27.25
O00007|2020-11-26|CANCELED|0001-01-01|U00592|U00110|"{""P00592_001"": 3}"|1792.0700000000002|3|9.39|28.170|28.17
O00008|2020-12-03|OK|2020-12-15|U00406|U00567|"{""P00406_007"": 1,
""P00406_005"": 2}"|4291.840000000001|3|42.855000000000004|45.360|90.72
O00009|2020-12-05|OK|2020-12-17|U00603|U00050|"{""P00603_001"": 3,
""P00603_001"": 2,
""P00603_001"": 4,
""P00603_001"": 4,
""P00603_001"": 2}"|1191.26|15|44.9|134.700|673.5
O00010|2020-12-18|OK|2020-12-26|U00576|U00540|"{""P00576_008"": 4,
""P00576_009"": 1}"|2227.72|5|5.515|14.545|29.089999999999996
O00011|2020-12-30|OK|2021-01-09|U00605|U00490|"{""P00605_011"": 5}"|3024.9300000000003|5|54.41|272.050|272.04999999999995
O00012|2020-11-03|CANCELED|0001-01-01|U00489|U00269|"{""P00489_003"": 5,
""P00489_002"": 2}"|2281.21|7|5.01|17.535|35.06999999999999
O00013|2020-11-28|CANCELED|0001-01-01|U00555|U00473|"{""P00555_012"": 2,
""P00555_009"": 1,
""P00555_010"": 2,
""P00555_013"": 3,
""P00555_005"": 5}"|2817.5399999999986|13|29.506|71.966|359.83000000000004
O00014|2020-12-30|OK|2021-01-09|U00448|U00122|"{""P00448_008"": 5}"|3681.0699999999997|5|5.45|27.250|27.25
O00015|2020-12-07|OK|2020-12-10|U00567|U00346|"{""P00567_004"": 1,
""P00567_006"": 4,
""P00567_002"": 5}"|2051.8399999999997|10|5.053333333333334|16.883|50.650000000000006
O00016|2020-11-20|OK|2020-11-27|U00428|U00150|"{""P00428_004"": 1,
""P00428_006"": 4,
""P00428_003"": 5,
""P00428_001"": 2,
""P00428_001"": 4}"|3661.0899999999997|16|14.956|46.116|230.57999999999998
O00017|2020-12-09|OK|2020-12-15|U00580|U00250|"{""P00580_001"": 4,
""P00580_003"": 1,
""P00580_001"": 5,
""P00580_002"": 3,
""P00580_001"": 3}"|2008.1799999999996|16|5.085|13.122|65.61
O00018|2020-11-23|CANCELED|0001-01-01|U00428|U00060|"{""P00428_005"": 5,
""P00428_004"": 5}"|1599.2399999999998|10|5.39|26.950|53.89999999999999
O00019|2020-11-25|OK|2020-12-01|U00517|U00038|"{""P00517_003"": 1,
""P00517_003"": 2}"|2845.43|3|5.05|7.575|15.149999999999999
O00020|2020-12-28|OK|2020-12-30|U00599|U00094|"{""P00599_014"": 5,
""P00599_007"": 5,
""P00599_015"": 3,
""P00599_007"": 5,
""P00599_009"": 5}"|1489.9799999999993|23|5.011999999999999|23.056|115.27999999999999
O00021|2020-12-20|OK|2020-12-22|U00589|U00324|"{""P00589_007"": 3,
""P00589_009"": 5}"|1602.4999999999995|8|5.895|23.435|46.870000000000005
O00022|2020-11-21|OK|2020-11-28|U00500|U00454|"{""P00500_008"": 4,
""P00500_005"": 4,
""P00500_003"": 4,
""P00500_003"": 3,
""P00500_003"": 2}"|3300.459999999999|17|11.736|43.932|219.66
O00023|2020-12-08|OK|2020-12-21|U00489|U00437|"{""P00489_002"": 2,
""P00489_006"": 5}"|1926.8600000000001|7|5.93|22.135|44.269999999999996
O00024|2020-12-31|OK|2021-01-05|U00473|U00254|"{""P00473_001"": 1,
""P00473_005"": 3}"|3527.5499999999997|4|5.01|10.020|20.04
O00025|2020-11-19|OK|2020-11-24|U00388|U00486|"{""P00388_001"": 1,
""P00388_001"": 5,
""P00388_001"": 2}"|2955.5000000000005|8|13.69|36.507|109.52
O00026|2020-11-03|CANCELED|0001-01-01|U00620|U00399|"{""P00620_001"": 2,
""P00620_002"": 3}"|2886.11|5|5.765000000000001|14.720|29.44
O00027|2020-11-14|OK|2020-11-23|U00622|U00052|"{""P00622_009"": 4,
""P00622_001"": 4}"|3701.7499999999995|8|32.18|128.720|257.44
O00028|2020-12-18|OK|2020-12-20|U00447|U00021|"{""P00447_007"": 4}"|1698.8899999999999|4|9.75|39.000|39.0
O00029|2020-12-27|OK|2021-01-06|U00620|U00319|"{""P00620_002"": 3,
""P00620_001"": 2,
""P00620_001"": 4,
""P00620_001"": 2}"|5167.760000000001|11|5.4575|15.085|60.34
O00030|2020-12-04|OK|2020-12-12|U00325|U00376|"{""P00325_013"": 1}"|1955.6799999999996|1|5.01|5.010|5.01
O00031|2020-12-13|OK|2020-12-26|U00562|U00199|"{""P00562_009"": 4}"|1056.03|4|6.9|27.600|27.6
